BowlerName,TeamCode,TeamName,Nationality,Matches,Innings,Wickets,OversBowled,EconomyRate,Fours,Sixes,BowlingAverage,BowlingSR,FourWickets,FiveWickets
Prasidh Krishna,GT,Gujarat Titans,Indian,15,15,25,59.0,8.27,46,23,19.52,14.16,1,0
Noor Ahmad,CSK,Chennai Super Kings,Overseas,14,14,24,50.0,8.16,31,18,17.0,12.5,2,0
Josh Hazlewood,RCB,Royal Challengers Bengaluru,Overseas,12,12,22,44.0,8.77,39,22,17.54,12.0,1,0
Trent Boult,MI,Mumbai Indians,Overseas,16,16,22,57.4,8.96,50,22,23.5,15.72,1,0
Arshdeep Singh,PBKS,Punjab Kings,Indian,17,16,21,58.2,8.88,64,15,24.66,16.66,0,0
Sai Kishore,GT,Gujarat Titans,Indian,15,15,19,42.3,9.24,22,25,20.68,13.42,0,0
Jasprit Bumrah,MI,Mumbai Indians,Indian,12,12,18,47.2,6.67,27,12,17.55,15.77,1,0
Varun Chakaravarthy,KKR,Kolkata Knight Riders,Indian,13,13,17,50.0,7.66,32,16,22.52,17.64,0,0
Krunal Pandya,RCB,Royal Challengers Bengaluru,Indian,15,15,17,46.0,8.23,23,19,22.29,16.23,1,0
Bhuvneshwar Kumar,RCB,Royal Challengers Bengaluru,Indian,14,14,17,52.0,9.28,46,26,28.41,18.35,0,0
Vaibhav Arora,KKR,Kolkata Knight Riders,Indian,12,12,17,42.3,10.11,45,20,25.29,15.0,0,0
Pat Cummins,SRH,Sunrisers Hyderabad,Overseas,14,14,16,49.4,9.06,41,23,28.12,18.62,0,0
Marco Jansen,PBKS,Punjab Kings,Overseas,14,14,16,47.1,9.2,41,22,27.12,17.68,0,0
Mohammed Siraj,GT,Gujarat Titans,Indian,15,15,16,57.0,9.24,62,22,32.93,21.37,1,0
Yuzvendra Chahal,PBKS,Punjab Kings,Indian,14,13,16,45.0,9.55,25,26,26.87,16.87,2,0
Harshal Patel,SRH,Sunrisers Hyderabad,Indian,13,13,16,43.5,9.8,43,16,26.87,16.43,2,0
Kuldeep Yadav,DC,Delhi Capitals,Indian,14,13,15,51.0,7.07,22,13,24.06,20.4,0,0
Khaleel Ahmed,CSK,Chennai Super Kings,Indian,14,14,15,46.4,9.57,51,25,29.8,18.66,0,0
Harshit Rana,KKR,Kolkata Knight Riders,Indian,13,13,15,44.0,10.18,48,24,29.86,17.6,0,0
Digvesh Singh,LSG,Lucknow Super Giants,Indian,13,13,14,52.0,8.25,39,14,30.64,22.28,0,0
Hardik Pandya,MI,Mumbai Indians,Indian,15,14,14,35.0,9.77,28,17,24.42,15.0,0,1
Mitchell Starc,DC,Delhi Capitals,Overseas,11,10,14,36.0,10.16,48,14,26.14,15.42,0,1
Eshan Malinga,SRH,Sunrisers Hyderabad,Overseas,7,7,13,26.4,8.92,25,10,18.3,12.3,0,0
Yash Dayal,RCB,Royal Challengers Bengaluru,Indian,15,15,13,49.0,9.59,44,20,36.15,22.61,0,0
Matheesha Pathirana,CSK,Chennai Super Kings,Overseas,12,12,13,41.5,10.13,25,25,32.61,19.3,0,0
Avesh Khan,LSG,Lucknow Super Giants,Indian,13,13,13,47.2,10.28,48,21,37.46,21.84,0,0
Shardul Thakur,LSG,Lucknow Super Giants,Indian,10,10,13,34.0,11.02,38,17,28.84,15.69,1,0
Sunil Narine,KKR,Kolkata Knight Riders,Overseas,12,12,12,45.0,7.8,12,22,29.25,22.5,0,0
Mukesh Kumar,DC,Delhi Capitals,Indian,12,12,12,39.3,10.32,38,21,34.0,19.75,1,0
Jaydev Unadkat,SRH,Sunrisers Hyderabad,Indian,7,7,11,23.5,7.34,19,4,15.9,13.0,0,0
Wanindu Hasaranga,RR,Rajasthan Royals,Overseas,11,11,11,41.0,9.04,22,21,33.72,22.36,1,0
Vipraj Nigam,DC,Delhi Capitals,Indian,14,13,11,39.0,9.12,23,21,32.36,21.27,0,0
Deepak Chahar,MI,Mumbai Indians,Indian,14,14,11,41.0,9.17,42,14,34.18,22.36,0,0
Jofra Archer,RR,Rajasthan Royals,Overseas,12,12,11,45.3,9.47,49,18,39.18,24.81,0,0
Maheesh Theekshana,RR,Rajasthan Royals,Overseas,11,11,11,42.0,9.76,39,14,37.27,22.9,0,0
Ashwani Kumar,MI,Mumbai Indians,Indian,7,7,11,20.3,11.31,18,15,21.09,11.18,1,0
Mitchell Santner,MI,Mumbai Indians,Overseas,13,13,10,39.3,7.92,27,10,31.3,23.7,0,0
Ravindra Jadeja,CSK,Chennai Super Kings,Indian,14,14,10,37.5,8.56,23,17,32.4,22.7,0,0
Harpreet Brar,PBKS,Punjab Kings,Indian,8,7,10,22.0,8.63,15,9,19.0,13.2,0,0
Rashid Khan,GT,Gujarat Titans,Overseas,15,15,9,55.0,9.34,29,33,57.11,36.66,0,0
Sandeep Sharma,RR,Rajasthan Royals,Indian,10,10,9,36.3,9.89,28,14,40.11,24.33,0,0
Tushar Deshpande,RR,Rajasthan Royals,Indian,10,10,9,32.0,10.62,35,13,37.77,21.33,0,0
Ravi Bishnoi,LSG,Lucknow Super Giants,Indian,11,11,9,37.0,10.83,32,25,44.55,24.66,0,0
Anshul Kamboj,CSK,Chennai Super Kings,Indian,8,8,8,21.3,8.0,17,8,21.5,16.12,0,0
Suyash Sharma,RCB,Royal Challengers Bengaluru,Indian,14,14,8,50.0,8.84,38,22,55.25,37.5,0,0
Azmatullah Omarzai,PBKS,Punjab Kings,Overseas,9,8,8,27.0,10.33,25,12,34.87,20.25,0,0
Andre Russell,KKR,Kolkata Knight Riders,Overseas,13,9,8,18.1,11.94,21,13,27.12,13.62,0,0
Karn Sharma,MI,Mumbai Indians,Indian,6,5,7,15.0,8.53,8,7,18.28,12.85,0,0
Ravichandran Ashwin,CSK,Chennai Super Kings,Indian,9,9,7,31.0,9.12,18,18,40.42,26.57,0,0
Moeen Ali,KKR,Kolkata Knight Riders,Overseas,6,5,6,16.0,8.5,5,9,22.66,16.0,0,0
Will Jacks,MI,Mumbai Indians,Overseas,13,8,6,14.0,8.57,11,4,20.0,14.0,0,0
Vignesh Puthur,MI,Mumbai Indians,Indian,5,5,6,12.0,9.08,4,9,18.16,12.0,0,0
Zeeshan Ansari,SRH,Sunrisers Hyderabad,Indian,10,10,6,33.5,9.84,24,17,55.5,33.83,0,0
Mohd Arshad Khan,GT,Gujarat Titans,Indian,9,9,6,21.0,10.33,24,10,36.16,21.0,0,0
Romario Shepherd,RCB,Royal Challengers Bengaluru,Overseas,8,7,6,14.0,10.78,11,11,25.16,14.0,0,0
Mohammad Shami,SRH,Sunrisers Hyderabad,Indian,9,9,6,30.0,11.23,40,17,56.16,30.0,0,0
William O Rourke,LSG,Lucknow Super Giants,Overseas,3,3,6,10.2,12.77,16,6,22.0,10.33,0,0
Axar Patel,DC,Delhi Capitals,Indian,12,11,5,34.0,8.47,23,14,57.6,40.8,0,0
Lockie Ferguson,PBKS,Punjab Kings,Overseas,4,4,5,11.2,9.17,5,7,20.8,13.6,0,0
Kyle Jamieson,PBKS,Punjab Kings,Overseas,4,4,5,15.0,9.8,14,8,29.4,18.0,0,0
Harsh Dubey,SRH,Sunrisers Hyderabad,Indian,3,3,5,10.0,9.8,4,8,19.6,12.0,0,0
Mustafizur Rahman,DC,Delhi Capitals,Overseas,3,3,4,11.0,7.9,6,4,21.75,16.5,0,0
Glenn Maxwell,PBKS,Punjab Kings,Overseas,7,6,4,13.0,8.46,9,5,27.5,19.5,0,0
Akash Singh,LSG,Lucknow Super Giants,Indian,3,3,4,11.1,8.86,15,1,24.75,16.75,0,0
Aiden Markram,LSG,Lucknow Super Giants,Overseas,13,5,4,11.0,9.27,3,7,25.5,16.5,0,0
Lungisani Ngidi,RCB,Royal Challengers Bengaluru,Overseas,2,2,4,8.0,10.12,7,4,20.25,12.0,0,0
Vyshak Vijaykumar,PBKS,Punjab Kings,Indian,5,5,4,17.0,10.64,12,9,45.25,25.5,0,0
Akash Madhwal,RR,Rajasthan Royals,Indian,4,4,4,15.0,11.06,17,7,41.5,22.5,0,0
Ishant Sharma,GT,Gujarat Titans,Indian,7,7,4,18.2,11.18,22,10,51.25,27.5,0,0
Dushmantha Chameera,DC,Delhi Capitals,Overseas,6,5,4,15.0,11.4,12,10,42.75,22.5,0,0
Yudhvir Singh Charak,RR,Rajasthan Royals,Indian,4,4,4,11.0,11.9,14,8,32.75,16.5,0,0
Riyan Parag,RR,Rajasthan Royals,Indian,14,9,3,20.0,8.5,9,7,56.66,40.0,0,0
Prince Yadav,LSG,Lucknow Super Giants,Indian,6,6,3,22.5,9.85,21,10,75.0,45.66,0,0
Akash Deep,LSG,Lucknow Super Giants,Indian,6,6,3,19.0,12.05,28,9,76.33,38.0,0,0
Ayush Badoni,LSG,Lucknow Super Giants,Indian,14,2,2,1.4,7.8,0,1,6.5,5.0,0,0
Liam Livingstone,RCB,Royal Challengers Bengaluru,Overseas,10,5,2,9.0,8.44,6,2,38.0,27.0,0,0
Kamindu Mendis,SRH,Sunrisers Hyderabad,Overseas,5,4,2,7.0,8.57,4,3,30.0,21.0,0,0
Nitish Kumar Reddy,SRH,Sunrisers Hyderabad,Indian,13,3,2,5.0,9.4,2,3,23.5,15.0,0,0
M Siddharth,LSG,Lucknow Super Giants,Indian,2,2,2,7.0,9.57,5,4,33.5,21.0,0,0
Xavier Bartlett,PBKS,Punjab Kings,Overseas,4,4,2,10.0,9.6,11,5,48.0,30.0,0,0
Kumar Kartikeya Singh,RR,Rajasthan Royals,Indian,4,4,2,8.0,9.75,6,5,39.0,24.0,0,0
Washington Sundar,GT,Gujarat Titans,Indian,6,5,2,10.5,10.24,7,7,55.5,32.5,0,0
Mohit Sharma,DC,Delhi Capitals,Indian,8,8,2,25.0,10.28,20,11,128.5,75.0,0,0
Gerald Coetzee,GT,Gujarat Titans,Overseas,4,4,2,12.0,10.91,8,9,65.5,36.0,0,0
Kagiso Rabada,GT,Gujarat Titans,Overseas,4,4,2,14.0,11.57,12,11,81.0,42.0,0,0
Adam Zampa,SRH,Sunrisers Hyderabad,Overseas,2,2,2,8.0,11.75,6,7,47.0,24.0,0,0
Mayank Yadav,LSG,Lucknow Super Giants,Indian,2,2,2,8.0,12.5,6,9,50.0,24.0,0,0
Simarjeet Singh,SRH,Sunrisers Hyderabad,Indian,4,4,2,10.0,14.1,12,13,70.5,30.0,0,0
Nuwan Thushara,RCB,Royal Challengers Bengaluru,Overseas,1,1,1,4.0,6.5,4,0,26.0,24.0,0,0
Anukul Roy,KKR,Kolkata Knight Riders,Indian,1,1,1,4.0,6.75,3,0,27.0,24.0,0,0
Corbin Bosch,MI,Mumbai Indians,Overseas,2,2,1,7.0,7.85,4,4,55.0,42.0,0,0
Nathan Ellis,CSK,Chennai Super Kings,Overseas,1,1,1,4.0,9.5,3,1,38.0,24.0,0,0
Kulwant Khejroliya,GT,Gujarat Titans,Indian,1,1,1,3.0,9.66,3,1,29.0,18.0,0,0
Pravin Dubey,PBKS,Punjab Kings,Indian,1,1,1,2.0,10.0,4,0,20.0,12.0,0,0
Kwena Maphaka,RR,Rajasthan Royals,Overseas,2,2,1,5.0,10.8,7,3,54.0,30.0,0,0
Sam Curran,CSK,Chennai Super Kings,Overseas,5,5,1,12.0,11.08,11,8,133.0,72.0,0,0
Richard Gleeson,MI,Mumbai Indians,Overseas,1,1,1,3.3,11.14,7,0,39.0,21.0,0,0
Rasikh Dar,RCB,Royal Challengers Bengaluru,Indian,2,2,1,6.0,11.66,7,5,70.0,36.0,0,0
Spencer Johnson,KKR,Kolkata Knight Riders,Overseas,4,4,1,11.2,11.73,14,8,133.0,68.0,0,0
Mukesh Choudhary,CSK,Chennai Super Kings,Indian,2,2,1,6.0,11.83,10,3,71.0,36.0,0,0
Anrich Nortje,KKR,Kolkata Knight Riders,Overseas,2,2,1,7.0,11.85,13,3,83.0,42.0,0,0
Shahbaz Ahmed,LSG,Lucknow Super Giants,Indian,3,3,1,8.3,12.0,9,5,102.0,51.0,0,0
Yash Thakur,PBKS,Punjab Kings,Indian,2,2,1,6.3,12.15,8,4,79.0,39.0,0,0
Marcus Stoinis,PBKS,Punjab Kings,Overseas,13,9,1,14.1,12.35,11,13,175.0,85.0,0,0
Shahrukh Khan,GT,Gujarat Titans,Indian,15,1,1,1.0,13.0,1,1,13.0,6.0,0,0
V Satyanarayana Penmetsa,MI,Mumbai Indians,Indian,2,2,1,4.0,13.25,4,3,53.0,24.0,0,0
Musheer Khan,PBKS,Punjab Kings,Indian,1,1,1,2.0,13.5,2,2,27.0,12.0,0,0
Mujeeb-ur-Rahman,MI,Mumbai Indians,Overseas,1,1,1,2.0,14.0,4,1,28.0,12.0,0,0
